project	language code	Total number of edits	Total number of unique editors	Total number of pages	Average number of edits per month (last 3 months)	Average number of editors per month (last 3 months)	Total number of bytes added (last 30 days)	Total number of bytes removed (last 30 days)	prefix
Wikipedia	bew	473	75	105	58	10	5969	-1149	Wp/bew
Wiktionary	trv	471	8	159	29	2	0	0	Wt/trv
Wikipedia	dng	470	71	163	38	10	0	-28	Wp/dng
Wikinews	af	467	40	179	63	10	0	0	Wn/af
Wikivoyage	bg	466	31	128	7	3	0	0	Wy/bg
Wikipedia	kab	463	36	1	77	8	0	0	Wp/kab
Wikipedia	niu	458	56	104	24	4	0	0	Wp/niu
Wiktionary	xh	449	41	149	78	5	0	0	Wt/xh
Wiktionary	as	447	32	128	19	2	0	0	Wt/as
Wikipedia	rcf	430	22	72	40	3	0	0	Wp/rcf
Wikipedia	aae	425	9	119	83	4	96550	-3881	Wp/aae
Wikivoyage	hbs	423	10	107	112	4	80503	-463	Wy/hbs
Wikipedia	ale	418	15	76	14	3	0	0	Wp/ale
Wikivoyage	ba	417	13	71	14	3	0	0	Wy/ba
Wiktionary	hak	417	15	179	53	4	0	0	Wt/hak
Wikipedia	xnb	412	27	138	27	2	0	0	Wp/xnb
Wiktionary	den	410	6	172	103	2	3384	0	Wt/den
Wikibooks	skr	410	32	89	55	6	42	0	Wb/skr
Wiktionary	cbk	408	8	183	202	3	0	0	Wt/cbk
Wikiquote	ps	407	33	149	64	10	1083	0	Wq/ps
Wikipedia	osx	403	36	74	103	7	0	-12	Wp/osx
Wikipedia	gld	402	37	94	69	8	24	-3	Wp/gld
Wiktionary	ceb	400	14	207	17	2	0	0	Wt/ceb
Wikipedia	scl	399	27	133	16	3	0	0	Wp/scl
Wikipedia	xsy	398	32	101	3	3	0	0	Wp/xsy
Wikipedia	pyu	398	20	105	33	5	0	0	Wp/pyu
Wikipedia	hoc	397	37	111	30	3	0	0	Wp/hoc
Wikipedia	gdo	393	38	74	109	7	82	0	Wp/gdo
Wikipedia	cjy	391	22	133	8	3	0	-723	Wp/cjy
Wikinews	si	390	25	86	27	5	0	-3	Wn/si
Wikiquote	diq	388	19	137	20	2	0	0	Wq/diq
Wikipedia	kdr	383	55	105	28	6	1041	0	Wp/kdr
Wikipedia	niq	382	8	128	2	1	0	0	Wp/niq
Wikipedia	aro	382	36	75	11	3	0	0	Wp/aro
Wikiquote	ang	378	65	42	27	10	0	0	Wq/ang
Wikibooks	yue	377	36	101	28	3	178	0	Wb/yue
Wikipedia	mww	376	75	99	67	9	0	0	Wp/mww
Wikipedia	hac	375	31	140	8	3	0	0	Wp/hac
Wikivoyage	yue	371	40	138	40	5	0	-3	Wy/yue
Wiktionary	loz	363	16	169	8	1	0	0	Wt/loz
Wikipedia	nr	361	21	89	73	3	0	0	Wp/nr
Wikinews	cpx	361	14	104	30	3	0	0	Wn/cpx
Wikiquote	si	359	12	102	8	2	0	0	Wq/si
Wikipedia	gil	354	35	75	23	3	0	0	Wp/gil
Wikipedia	aa	354	165	29	39	21	446	-2	Wp/aa
Wikipedia	shh	350	11	138	145	3	0	-72	Wp/shh
Wikibooks	nan	349	37	62	43	5	0	0	Wb/nan
Wiktionary	meu	347	16	80	8	2	0	0	Wt/meu
Wikiquote	grc	341	26	55	10	4	0	0	Wq/grc
Wikinews	et	341	18	149	3	2	0	0	Wn/et
Wikipedia	evn	340	68	69	36	10	0	0	Wp/evn
Wikipedia	bla	339	14	114	74	4	0	-6	Wp/bla
Wikipedia	stq	338	24	1	16	3	0	0	Wp/stq
Wikipedia	chb	337	12	89	2	2	0	0	Wp/chb
Wiktionary	kjp	337	7	152	3	1	0	0	Wt/kjp
Wikipedia	cnh	330	56	37	20	7	0	0	Wp/cnh
Wikipedia	pox	327	27	83	42	5	0	-2	Wp/pox
Wikipedia	pis	327	22	79	14	3	104	-3	Wp/pis
Wikipedia	ttt	324	37	91	19	5	0	0	Wp/ttt
Wikibooks	jam	323	7	50	5	1	0	0	Wb/jam
Wikipedia	rmf	320	18	181	138	5	0	0	Wp/rmf
Wiktionary	oaa	317	4	149	47	1	0	0	Wt/oaa
Wikipedia	pmy	315	30	99	14	4	0	0	Wp/pmy
Wikipedia	apc	315	32	89	17	3	0	0	Wp/apc
Wikinews	hr	314	38	80	73	10	0	0	Wn/hr
Wikinews	azb	312	16	128	40	3	0	0	Wn/azb
Wikipedia	ess	309	64	91	22	8	17	0	Wp/ess
Wikipedia	dsb	308	65	1	27	11	0	0	Wp/dsb
Wikibooks	or	308	15	6	3	2	0	0	Wb/or
Wikiquote	ast	307	54	41	4	3	0	0	Wq/ast
Wikipedia	jct	305	73	95	28	11	712	-1	Wp/jct
Wikipedia	tuo	303	3	112	51	2	0	0	Wp/tuo
Wikipedia	tji	303	20	120	35	3	0	0	Wp/tji
Wikipedia	ket	302	36	83	35	6	17	0	Wp/ket
Wikipedia	acf	298	36	50	10	3	0	0	Wp/acf
Wikipedia	taj	297	23	106	5	2	640	0	Wp/taj
Wikipedia	rar	295	38	79	59	5	0	0	Wp/rar
Wiktionary	ltg	292	16	35	21	2	0	0	Wt/ltg
Wikipedia	sgh	289	39	108	83	7	17	0	Wp/sgh
Wikipedia	rjs	288	19	62	23	2	0	0	Wp/rjs
Wikivoyage	sr	288	18	57	81	2	0	0	Wy/sr
Wiktionary	arn	281	13	38	90	4	0	0	Wt/arn
